PARTID;DESCRIPCION;FAMILIA;RUBRO;SUB-RUBRO;MARCA;UNIT_PRICE;IVA;MONEDA;CODIGO DE BARRAS;STOCK_UM;CASE_QTY;DESCRIPCION BULTO
66019171;GAB 1 MONO + 1 TRIF C/TM S/DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;666,199.09;21;ARS;;Un;1;
66020300;GAB 3 MED MONO C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;806,333.41;21;ARS;;Un;1;
66020332;GAB 3 MED MONOF EDESUR TM 32 + DIF.CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;919,541.75;21;ARS;;Un;1;
66020400;GAB 4 MED MONO C/ TM + DF40 (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;978,500.52;21;ARS;;Un;1;
66020432;GAB 4 MED MONOF RED TM2X32 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,148,177.80;21;ARS;6602043200009;Un;1;
66020440;GAB 4 MED MONOF RED TM2X40 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,202,528.86;21;ARS;6602044000004;Un;1;
66020600;GAB 6 MED MONO C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,575,261.54;21;ARS;;Un;1;
66020800;GAB 8 MED MONO C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,853,802.48;21;ARS;;Un;1;
66020806;GAB 8 MED MONO. C/P 6 *EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,899,627.21;21;ARS;6602080600008;Un;1;
66020807;GAB 8 MED P/7 MONOF EDESUR TM+DIF. CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,973,501.37;21;ARS;;Un;1;
66020832;GAB 8 MED MONOF RED TM2X32 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,828,588.92;21;ARS;;Un;1;
66020840;GAB 8 MED MONOTM 2X40 EDESUR CXT TM+DIF;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,366,364.27;21;ARS;6602084000002;Un;1;
66020863;GAB 8 MED MON TM 32/40 DIF 63 EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,180,464.39;21;ARS;6602086300001;Un;1;
66020900;GAB 9 MED MONO C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,289,476.52;21;ARS;;Un;1;
66020932;GAB 9 MED MONOF EDESUR TM 32 +DIF. CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,289,476.52;21;ARS;6602093200004;Un;1;
66020940;GAB 9 MED MON TM40A + DIF40A 10MM EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,413,618.12;21;ARS;6602094000009;Un;1;
66021200;GAB 12 MED MONO C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,768,120.27;21;ARS;;Un;1;
66021210;GAB 12 MED MONO RED CABP/10 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,988,934.66;21;ARS;;Un;1;
66021211;GAB 12 MED MONO RED CAB.P/11 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;3,100,079.27;21;ARS;;Un;1;
